Identifier Type,Identifier Value,Amortized Cost,Market Value,Accounting Intent,Type of Hedge,Hedged Risk,Hedge Interest Rate,Hedge Percentage,Hedge Horizon,Hedged Cash Flow,Sidedness,Hedging Instrument at Fair Value,Effective Portion of Cumulative Gains and Losses,ASU 2017-12 Hedge Designations
CUSIP,ID187265,32741690.38,6999783.45,HTM,2,3,3,0.0041,2029-11-17,4,1,47040417,22251054,3
SEDOL,ID473624,2793008.27,48433863.06,AFS,1,9,4,0.0062,2031-12-20,3,1,-43994305,-22305255,3
INTERNAL,ID504483,24154726.46,7112027.6,EQ,1,6,5,0.5791,2034-04-17,2,1,17837491,934809,2
ISIN,ID439781,33209651.63,7459275.07,EQ,2,3,5,0.8367,2031-04-01,2,2,-35352269,-13101264,1
SEDOL,ID519021,8443676.63,28441831.33,EQ,1,1,5,0.5387,2028-07-21,1,2,-29467575,-7350249,1
CUSIP,ID971969,48201935.21,18230831.24,AFS,1,7,1,0.5951,2029-09-24,3,2,28625305,31161829,2
CUSIP,ID516266,23215959.33,26309400.9,HTM,1,3,5,0.96,2034-07-09,6,1,-12168592,-22950843,2
ISIN,ID185411,41355927.63,44919376.64,AFS,2,3,1,0.5921,2031-09-20,2,1,26400039,-32836925,3
ISIN,ID566156,49692938.01,22365770.07,EQ,1,2,2,0.1065,2026-05-22,1,1,-44674845,2784932,1
SEDOL,ID932034,25645895.57,21410021.14,AFS,1,11,2,0.1317,2031-07-16,6,1,21215082,17052463,2
CUSIP,ID483624,14616243.85,22062051.66,EQ,1,3,5,0.5038,2027-07-31,4,2,27234288,3198604,2
ISIN,ID554720,16611195.54,26020699.33,HTM,1,9,2,0.1422,2028-12-10,3,1,34135000,44638470,1
INTERNAL,ID461727,28928890.54,16424727.64,EQ,2,2,2,0.3147,2028-11-24,5,1,-10035367,-17669875,2
ISIN,ID855220,37115666.32,39919130.67,AFS,1,4,5,0.8158,2028-02-07,2,2,49231527,25975416,1
ISIN,ID938440,13954448.42,39997273.67,HTM,2,8,3,0.9185,2030-03-09,3,2,-30792601,-18320583,3
INTERNAL,ID159609,39096899.63,16419746.13,HTM,1,6,5,0.2515,2030-03-10,1,2,964628,30281872,3
ISIN,ID745494,20315513.07,27509723.45,EQ,2,1,4,0.4448,2026-09-18,2,1,19207491,-22335837,3
INTERNAL,ID751244,15856725.03,31682787.26,HTM,1,4,2,0.4448,2032-03-22,1,2,34704785,-27233871,2
ISIN,ID158812,43639794.21,18027882.63,AFS,2,6,2,0.9278,2026-08-06,3,2,-20967996,25648997,1
CUSIP,ID911590,20909726.24,11178248.45,AFS,2,8,4,0.1725,2025-04-28,5,1,-16618667,-5403226,3
INTERNAL,ID583659,49432564.1,46974418.92,HTM,2,5,1,0.6494,2027-12-19,6,1,9784379,20025262,1
CUSIP,ID367451,28500488.58,6725595.29,AFS,2,1,2,0.1022,2032-03-15,5,2,27241254,37813804,1
ISIN,ID300915,4232059.33,34495218.1,AFS,2,7,1,0.4287,2028-09-10,4,1,-30649852,-1877968,1
ISIN,ID937550,19454757.93,7410463.02,AFS,1,6,4,0.5894,2027-02-08,2,2,26662608,-19852595,2
INTERNAL,ID549936,38648365.07,15789048.6,EQ,1,6,1,0.3077,2027-12-21,1,1,27963206,-31560482,3
ISIN,ID188354,23497921.52,32090066.86,AFS,2,8,1,0.504,2031-05-17,4,1,30734732,-9053643,1
CUSIP,ID987377,37640856.66,1218896.87,AFS,1,10,1,0.2047,2025-05-07,4,2,-14022761,-18437661,1
SEDOL,ID536173,36075351.35,19482152.07,HTM,1,10,3,0.8487,2032-10-14,6,2,-43478740,-42903083,2
CUSIP,ID324174,14976101.65,12406255.27,EQ,2,7,2,0.3075,2026-12-07,1,1,27435894,29048619,1
CUSIP,ID249495,16422727.05,42824945.33,EQ,1,9,1,0.6902,2030-12-22,6,1,-32329581,6131017,1
ISIN,ID441229,15675323.09,20191024.35,AFS,2,2,3,0.2099,2033-10-22,5,2,15974941,59402,2
CUSIP,ID320204,16461069.57,19581555.68,AFS,1,11,3,0.643,2029-11-04,1,2,23512835,-34623353,1
SEDOL,ID441350,4041279.18,47561122.5,AFS,2,9,5,0.7559,2028-05-15,5,2,31007858,-39476848,2
INTERNAL,ID461145,24348729.61,37181435.03,AFS,1,9,2,0.9865,2029-03-22,2,1,46205367,42142656,1
CUSIP,ID991689,6613345.87,29511545.99,EQ,2,2,5,0.299,2034-03-19,6,2,41128575,-20979133,1
CUSIP,ID800970,14433747.12,10825684.01,EQ,2,2,1,0.8018,2031-05-11,2,1,12687944,-39712965,3
INTERNAL,ID363204,8695790.67,49835919.62,AFS,2,6,3,0.6347,2033-12-03,5,2,9561412,-748151,3
CUSIP,ID330673,22763224.9,22811011.56,AFS,2,7,4,0.6596,2031-02-03,6,2,33109560,26185715,3
CUSIP,ID469643,41448963.18,37406939.6,HTM,1,10,3,0.7395,2033-04-29,6,2,36434146,-10157162,1
CUSIP,ID484271,49005599.44,22011554.76,AFS,1,11,5,0.1304,2031-04-16,1,1,21433329,16543312,2
ISIN,ID315906,1399760.9,5071487.22,EQ,1,11,4,0.8459,2034-03-13,3,1,44389229,15304811,2
SEDOL,ID761328,17659150.93,11724576.48,AFS,1,10,5,0.0318,2027-02-14,5,2,17412589,32594606,2
ISIN,ID369558,38188052.78,3345789.41,AFS,1,4,4,0.9586,2033-05-27,3,1,27158558,-42465359,1
CUSIP,ID481988,8052230.47,42440840.47,AFS,2,5,3,0.2937,2029-04-23,1,2,26071689,-12547254,3
INTERNAL,ID166397,33952570.7,39707836.07,EQ,2,6,5,0.288,2025-05-18,3,1,-37814452,27490418,2
ISIN,ID727976,45233435.77,40936765.21,EQ,2,4,3,0.5159,2027-05-22,2,1,33179027,17367246,3
INTERNAL,ID575234,41964549.34,44318981.7,AFS,1,2,2,0.1799,2032-06-19,2,2,38579399,-18783910,3
ISIN,ID598221,27540915.77,13176199.68,EQ,2,7,3,0.9595,2029-10-07,1,2,34475229,-42564607,3
INTERNAL,ID773807,37846888.75,41330039.19,EQ,1,10,2,0.1737,2030-09-16,3,2,-30745914,-2715954,2
ISIN,ID619711,38333191.2,34397024.14,AFS,2,2,4,0.1314,2034-04-19,2,1,-1986265,19371345,1
ISIN,ID552844,48660379.59,17715439.25,EQ,2,8,5,0.7597,2028-11-16,2,1,11864049,-43703291,1
SEDOL,ID844340,1103548.38,11410873.76,EQ,1,1,4,0.6132,2031-06-22,5,2,-27380200,10205850,3
INTERNAL,ID923559,26950868.25,45677924.2,HTM,1,6,3,0.3497,2032-03-11,1,1,8279564,-42028353,3
SEDOL,ID809902,26365239.5,1480858.54,AFS,2,4,2,0.1161,2026-12-23,1,1,-41271290,18388816,1
INTERNAL,ID216872,6155202.93,29655945.74,EQ,2,8,1,0.1102,2030-01-09,2,1,40071719,-1768885,2
SEDOL,ID962620,29331014.19,23736669.53,HTM,2,4,4,0.2196,2032-01-23,3,2,-17429784,14362326,2
SEDOL,ID239339,17027366.74,48727924.02,EQ,2,2,2,0.4399,2025-11-21,1,2,4231972,-38713420,2
CUSIP,ID560412,32010244.92,35083713.2,AFS,1,8,2,0.7284,2027-12-20,5,1,14591576,23887001,1
INTERNAL,ID960761,4044878.76,11856733.19,HTM,2,5,1,0.4766,2027-06-18,4,2,6279132,1588824,3
SEDOL,ID551960,39947031.78,3652885.78,HTM,2,9,4,0.7974,2026-11-19,3,2,-5423185,43732256,3
ISIN,ID589191,27483867.4,20972685.58,HTM,1,3,5,0.581,2031-10-01,4,1,-27805008,27181654,3
INTERNAL,ID106147,35315506.65,26199889.7,EQ,2,8,1,0.5275,2033-01-22,2,1,45613891,-28760764,3
SEDOL,ID169858,11021961.12,32553618.13,EQ,2,11,4,0.2507,2029-06-13,5,2,21919124,29872153,3
INTERNAL,ID593976,30355052.58,13622892.36,HTM,1,6,1,0.8092,2027-06-20,5,2,-30187987,43932108,2
SEDOL,ID336432,8236670.04,45677898.78,AFS,1,7,5,0.3144,2025-12-13,5,2,-6024433,47757955,1
ISIN,ID718312,48519349.76,32433537.13,HTM,1,8,4,0.4051,2035-02-23,1,2,32651088,22613193,3
INTERNAL,ID474383,42824714.38,16517225.42,HTM,2,5,1,0.5822,2030-08-13,1,2,2513241,-42971836,2
SEDOL,ID508436,44995283.01,26539342.92,HTM,2,9,4,0.7997,2028-08-25,5,2,-16600278,45387212,2
SEDOL,ID776201,47731628.7,41886076.04,AFS,2,8,1,0.3455,2028-03-04,2,1,4135086,-21832520,1
CUSIP,ID602643,6240703.82,15762122.06,EQ,2,4,3,0.6935,2029-07-18,3,2,48873349,-25982711,1
CUSIP,ID648163,10780486.76,38096972.68,EQ,2,2,1,0.5546,2032-04-01,1,1,17830402,-35666057,1
INTERNAL,ID322793,25451950.67,36360514.37,EQ,2,8,2,0.3315,2029-10-12,3,2,-37482757,-7339317,2
ISIN,ID220894,13780507.96,1912270.31,HTM,2,3,5,0.2554,2027-12-23,5,1,-21580353,29230748,3
CUSIP,ID192041,2121062.89,31663501.09,HTM,1,11,1,0.9513,2027-04-06,6,1,-14994600,-30297953,2
SEDOL,ID769819,14029763.91,11729121.36,EQ,2,4,5,0.6858,2028-02-06,4,2,-28240194,4344452,3
SEDOL,ID792755,24463428.22,13291732.82,HTM,2,6,2,0.1114,2030-07-14,5,1,-22193251,-41677154,2
CUSIP,ID699040,39126194.29,48929381.32,EQ,2,3,4,0.9939,2029-07-12,5,2,-30646221,-5032424,2
CUSIP,ID635941,28529029.0,42279968.26,AFS,1,2,3,0.4864,2031-02-21,3,2,-19119375,-20638718,2
CUSIP,ID980485,16227314.8,35870247.43,AFS,1,2,2,0.0766,2026-09-12,5,2,48146834,-24687241,2
CUSIP,ID931282,11867860.29,5738136.4,HTM,1,11,3,0.9695,2026-01-19,4,1,27827150,40109248,3
